"","CO2","year","pais","avgAA","no.emig","exports","imports","pop","remit","aid","inflation","unempl","GDP","avgPop","propEmig"
"1","ARG",1995,"argentina",3.3998127340824,52440,1803371008,4206580992,24666,NA,0,3.37611684980124,18.7999992370605,-2.84520961057079,27569.5,0.00190210196049983
"2","ARG",1996,"argentina",3.18675352877307,92774,1974341632,4749123584,NA,NA,0,0.155695900742301,17.2000007629395,5.52668982715234,27569.5,0.00336509548595368
"3","ARG",1997,"argentina",3.394,105734,2204026112,6085211136,NA,NA,0,0.527258257063294,14.8999996185303,8.1110467707457,27569.5,0.00383518018099712
"4","ARG",1998,"argentina",3.30121703853955,120104,2211580160,6227363840,NA,NA,270000,0.920336467095401,12.8000001907349,3.85017885156228,27569.5,0.00435640834980685
"5","ARG",2000,"argentina",2.68888888888889,115978,3148713321,4784868410,26565,NA,-2470000,-0.935939411978643,15.0200004577637,-0.78899893905691,27569.5,0.00420675021309781
"6","ARG",2001,"argentina",2.60267430754537,139375,2900129494,3781205761,NA,NA,-470000,-1.06663550777859,17.3999996185303,-4.40883968258557,27569.5,0.00505540542991349
"7","ARG",2002,"argentina",2.28189116859946,176588,2957202479,1804349481,NA,NA,1610000,25.8684978656634,19.6000003814697,-10.8944848285903,27569.5,0.00640519414570449
"8","ARG",2003,"argentina",2.11343012704174,184130,3133532964,2264012544,NA,NA,10370000,13.4428492915644,16.0300006866455,8.83704079576924,27569.5,0.00667875732240338
"9","ARG",2004,"argentina",2.14828209764919,183885,3707822011,3429867758,NA,NA,1820000,4.41571792341903,13.5220003128052,9.02957330210756,27569.5,0.0066698706904369
"10","ARG",2005,"argentina",2.1043956043956,185010,4570411052,4532215522,28509,NA,1360000,9.63939954620815,11.5059995651245,8.85165991941442,27569.5,0.00671067665354831
"11","ARG",2006,"argentina",1.97725284339458,163048,4119114845,4292133483,NA,NA,1970000,10.9011245348844,9.44999980926514,8.04715150365763,27569.5,0.00591407170967917
"12","ARG",2007,"argentina",2.22272727272727,170306,4344407421,5342303578,NA,NA,7820000,8.8314129888502,8.41499996185303,9.00765087916513,27569.5,0.00617733364769038
"13","ARG",2008,"argentina",2.24463118580766,154794,5401769038,6979889488,NA,NA,7170000,8.58401375161149,7.83699989318848,4.05723310237892,27569.5,0.00561468289232666
"14","ARG",2009,"argentina",2.73848987108656,172877,3680361388,5169636342,NA,NA,2620000,6.28277431483129,8.64500045776367,-5.91852508035115,27569.5,0.00627058887538766
"15","ARG",2010,"argentina",2.67085201793722,170512,3668828239,6125400096,30538,NA,3770000,10.7801154347422,7.71400022506714,10.1253981606364,27569.5,0.00618480567293567
"16","ARG",2011,"argentina",2.54343971631206,165029,4301136327,7810169307,NA,NA,9590000,9.46568627451001,7.17899990081787,6.00395168927028,27569.5,0.00598592647672247
"17","BOL",1996,"bolivia",3.00301659125189,40108,237415808,455671008,NA,NA,9.4e+07,12.4254866180049,5.23000001907349,4.361340293933,5715.66666666667,0.00701720417565755
"18","BOL",1997,"bolivia",3.47249647390691,48126,264119200,443446112,NA,NA,1.63e+08,4.70844436028189,2.07999992370605,4.95420874299724,5715.66666666667,0.00842001516300227
"19","BOL",1998,"bolivia",3.41021671826625,38686,303220320,550669824,NA,NA,92310000,7.67322895675089,2.67400002479553,5.02935475543072,5715.66666666667,0.00676841429987753
"20","BOL",2000,"bolivia",2.93707865168539,49889,349610408,406094789,5025,NA,97370000,4.60822998872605,4.80000019073486,2.50781080899483,5715.66666666667,0.0087284656208083
"21","BOL",2001,"bolivia",2.92307692307692,50986,188473598,314345421,NA,NA,119050000,1.58965377879563,5.40000009536743,1.68379912721825,5715.66666666667,0.00892039423805913
"22","BOL",2002,"bolivia",2.68986254295533,60578,193810867,276541093,NA,NA,127700000,0.928258851611168,5.40000009536743,2.48556573783829,5715.66666666667,0.0105985886744037
